channel,time_on_page,device_tier,loan_amount_requested,hour_of_day,monthly_income,existing_emi,rent,total_obligations,dti_ratio,avg_monthly_balance,bounce_count_6m,income_stability_score,converted,defaulted
app,334.16339900051406,mid,199727.99363137057,12,30755.879683309122,7088.911994247828,1962.6843828752262,9051.596377123054,0.2943045840446325,6264.193285400984,0,0.723105184808826,1,0
whatsapp,52.09755207986484,low,87875.37883201166,18,31942.456622214013,21206.907858162922,3790.2363138462465,24997.144172009168,0.7825679930523939,37406.24962432883,0,0.41074374922452167,1,0
app,6.501182471095167,mid,49770.315350981225,1,44718.50432246147,21229.355737626676,2057.0574967449684,23286.413234371645,0.5207332755687718,79135.06610152964,0,0.6177597960313528,1,0
whatsapp,58.25540990051906,low,161419.8428130738,11,25719.195116488576,6932.994550274406,6917.315021360717,13850.309571635124,0.5385203350611735,37104.2779158251,0,0.7547255309654026,1,0
whatsapp,60.92014401307718,low,44897.956609160516,8,58536.61348878919,44572.81619810921,3084.781954230679,47657.598152339895,0.8141502439574366,91487.90615820348,0,0.6347911149538772,1,0
sms,81.2657701974439,low,109553.62910021456,0,35864.80525992496,4980.3707388727435,9232.77372059559,14213.144459468333,0.39629782892896354,9643.335134358102,2,0.9214471840906033,1,0
sms,95.05669579504658,high,87287.95703145288,22,23695.63728992447,3678.765527220316,7700.479022402125,11379.24454962244,0.4802253009865645,12381.46236357859,0,0.92956705570953,0,0
web,8.168155711642353,high,30831.141854307818,13,44103.84253168143,13719.318870847696,2066.6934265437253,15786.01229739142,0.3579282754343171,55275.47216949759,0,0.6259572048747132,1,0
whatsapp,96.42624616746774,high,180884.3558691296,6,34198.388305858745,3758.513087877893,7583.894900107751,11342.407987985644,0.33166498627195545,16263.175666942261,0,0.8528781111271911,1,0
whatsapp,63.74648882669536,mid,126099.72705838647,16,28852.722795588117,12678.67961983513,1633.4610515827312,14312.140671417861,0.4960412496530947,44922.7093913514,1,0.6261178831331683,1,1
web,53.99814564609565,low,216982.0532430348,22,73736.81868283344,20893.019469257957,23430.5162610314,44323.53573028935,0.6011045298948902,44864.24569644559,0,0.6760927257486935,0,1
app,13.54915105036035,mid,97217.58405734268,13,31059.953752230427,3062.518474059833,7653.7371040774415,10716.255578137274,0.34501840098096526,23991.774305609302,0,0.6885428385720072,0,0
whatsapp,170.87181482427806,low,52345.818111213615,16,28939.42809726451,8460.782755363327,8792.136681269376,17252.919436632703,0.5961734758076829,7957.764798607286,1,0.6477375535752276,1,0
app,47.26814573830293,mid,32909.99552700446,1,58709.12172213046,1731.3274127492643,11349.773740782084,13081.101153531348,0.22281207365771943,56786.69843192517,1,0.801010170981824,1,0
whatsapp,106.84802215306648,mid,169694.30999889816,8,46720.3171663035,3924.271882556694,6055.11411819132,9979.386000748014,0.2135984215437975,30849.41220421176,2,0.9242106570452717,1,0
sms,33.17243463815877,low,48926.32862104008,14,52955.765143868826,18636.15799252829,8041.86872994782,26678.02672247611,0.5037794591391126,13753.274121357887,2,0.7591573733221063,0,1
whatsapp,83.83072644736441,mid,342934.08265167614,23,27404.422305327244,6319.802086058099,2007.7143043000924,8327.516390358192,0.30387491104818426,12085.328361692787,0,0.7008185364481492,1,0
web,54.673752401673205,low,263736.8345163178,15,40536.549485744545,14904.458582715606,9846.204893473465,24750.66347618907,0.6105764745687868,36739.68578224202,1,0.734085900890028,0,1
whatsapp,104.61166198304028,high,103087.1853297481,8,18156.936064034522,3735.341528263895,5528.954991762613,9264.296520026508,0.510234573022336,14817.930039786914,2,0.5145679521819461,1,0
app,53.249563959975234,low,83341.08200077967,3,13901.840265273833,5142.9372246951825,2717.583837470215,7860.521062165397,0.5654302532737786,24322.573732655455,0,0.7556620346184054,0,0
app,31.837770133655123,mid,61404.7881676653,14,27025.65243116822,13637.881342470417,3402.4800617580267,17040.361404228443,0.6305254405098502,20135.10990032186,1,0.6978996510041051,0,0
whatsapp,65.94124639299443,low,66452.26972831637,20,37182.178399599215,17845.78338536611,6388.369994139802,24234.15337950591,0.6517679819363981,35226.41110908189,0,0.8756788552032337,1,0
sms,63.48357488877586,high,308136.71301285946,9,120583.91049045176,25976.794900450102,20157.112747939453,46133.907648389555,0.3825875895113104,112799.70806653965,0,0.8253497198494516,1,0
web,79.91632857633772,mid,75360.98879981347,6,67838.56816440028,10661.676865836833,5268.227300258551,15929.904166095384,0.23482076047788608,86703.33122693172,0,0.4973165587023758,0,0
sms,126.63186860798285,low,131407.13899311548,5,21020.429518809728,1662.9067384866419,4162.917371323202,5825.824109809844,0.2771505741401106,38361.94651780758,0,0.5482771424744598,1,0
web,25.799369285327067,low,137221.1677059807,14,56263.37794098424,10822.855365078307,2614.759104048016,13437.614469126323,0.2388341219615591,79574.29923180108,0,0.7141175517687223,0,0
app,122.3458992786989,high,175215.38342989224,1,18531.514788187415,4521.628198404081,3562.261134017573,8083.889332421653,0.4362238826571579,31672.197420044147,2,0.8106449444939349,1,0
sms,22.253772149712358,mid,125034.59248719637,23,78160.3708972327,27019.868819897893,6376.9042264861755,33396.77304638407,0.4272852426748975,41957.84849107712,0,0.7495035200139423,0,0
whatsapp,101.86419744865007,mid,97878.30447851999,14,28207.425041699404,1446.867004202596,3988.5688582934176,5435.435862496013,0.19269521604544682,48263.31826914918,1,0.9327539450596778,1,0
whatsapp,104.06400328828431,high,57505.56988755181,17,27247.499227077875,9380.789101518083,17975.80117270852,27356.590274226604,1.0040037086060476,39788.926648849665,0,0.7043995850855994,1,0
whatsapp,45.28214405370498,mid,135151.43958443028,13,60482.32769127254,12361.843523985544,9949.160020208661,22311.003544194205,0.3688846708757479,44202.710046013635,0,0.9672364505456544,0,0
whatsapp,34.65923087283882,high,118881.50276682459,17,27458.78021913642,1742.8662223063382,4752.718745102011,6495.584967408349,0.2365576662754117,49746.915161824894,0,0.7274142663596951,1,0
app,33.093749311739884,mid,74435.66156376713,2,87040.9369157716,21455.16720578188,4297.3214009756275,25752.488606757506,0.29586639941247256,121600.2260072697,2,0.7349682689444391,0,0
whatsapp,70.65243058511066,mid,128462.37464734382,19,27308.04002681759,8091.311679033026,11126.957432769022,19218.26911180205,0.7037586400535863,28454.35929698696,1,0.7998881119538128,0,0
web,108.70727779998799,mid,92864.79110141755,21,56598.628133010956,19990.32711390223,3109.7981098341006,23100.12522373633,0.4081393133672662,83085.98188774765,0,0.6534660645080275,1,0
app,59.61622799658591,mid,118900.89497695371,13,38483.42840379097,8996.782233890764,12879.859137580605,21876.64137147137,0.5684691379865814,8163.30903188992,2,0.7342611179408792,0,1
whatsapp,5.5860615083496645,low,150582.65656507213,5,50990.72724226161,28888.33409969004,15006.084628752356,43894.4187284424,0.8608313923411212,39881.94113613089,1,0.600689048685204,1,0
app,42.89258483490529,high,108850.68530987873,13,21941.65624017089,3536.2032312936535,11415.791546455255,14951.994777748909,0.6814433064708545,35064.116768035885,0,0.7409845729312382,1,0
whatsapp,41.6586291166479,mid,158822.7828576733,1,14519.913476362563,6017.335100388913,4500.027882741664,10517.362983130577,0.7243406098977196,25355.02964228483,0,0.8260888753851983,1,1
web,94.61098921776178,high,107672.69626565964,21,22711.604820558146,5737.13968833817,6315.395904582202,12052.535592920372,0.530677408670418,37254.62627048805,0,0.40747117624007473,1,0
whatsapp,98.02042389700841,mid,175134.42741855918,15,29674.86327002211,16330.945582622597,3776.11596904317,20107.061551665767,0.6775789114411238,44992.13658383671,0,0.6400936448492551,1,0
sms,74.6539424301914,high,80826.01479549684,23,32860.839680341276,5029.1172789696975,1518.2429127825587,6547.3601917522565,0.1992450666338012,36003.95178144147,0,0.8836173263621652,1,0
web,122.49877239180299,high,50042.42794948993,15,28508.867865871314,8722.948686993965,924.6455917303687,9647.594278724333,0.33840678360552195,15431.155809079692,1,0.5819383081176772,1,0
whatsapp,128.64664629562708,mid,115510.7217077936,20,12477.885181256615,3152.0079523285503,2374.1620709376757,5526.170023266226,0.442877133664224,4984.198364866612,0,0.2654889826970579,1,1
whatsapp,44.99150893593541,mid,243453.80738717612,16,26387.28955313769,8779.908597701658,3674.082717797479,12453.991315499137,0.47196932790007773,49164.532449721504,0,0.8731653471987484,1,0
web,32.458930471262235,low,165234.90182839573,15,37040.85854769054,10792.62632736759,1752.7276665145812,12545.353993882172,0.3386896115739294,21462.711578670307,2,0.5969436333270445,0,0
web,62.82493363231406,mid,241816.61604486257,15,32155.03036437233,6219.042072059765,5641.327462155027,11860.369534214791,0.36884958278117635,20627.421445315573,0,0.5921970263896184,0,0
web,74.54587968354227,low,74032.1822649812,7,30116.378773718105,8171.088186313368,4320.32424768573,12491.4124339991,0.4147713949228211,45149.6557594692,0,0.8547826477392605,1,0
web,43.17551280950035,mid,97585.70673854322,5,28852.600678761148,18836.42781593176,8720.546429980135,27556.974245911893,0.9550949861582847,45026.229817284264,0,0.3687803408219355,1,1
whatsapp,385.2094813225025,high,51955.3940791965,17,37354.5520887068,2788.2895035403735,4041.883220105116,6830.17272364549,0.18284713218955767,34916.734747477305,1,0.5482599971122647,1,0
app,164.45563771890073,mid,42054.63662856866,22,21512.591306034803,4828.455714222832,10637.199497745014,15465.655211967845,0.7189117755251249,7208.629521500833,0,0.8368193082155675,1,0
whatsapp,39.94039101018718,mid,223069.91604801355,13,32124.048735473167,6751.831320771409,4253.8631653118755,11005.694486083285,0.3425998564723314,34437.68011818903,0,0.54451864485478,0,1
web,26.803289165994364,mid,210516.27007796898,15,29620.434476462557,12296.873533020522,2208.367045885715,14505.240578906236,0.4897038424751201,49255.88623229231,0,0.7716124086095526,0,0
app,37.30770135381645,mid,142756.8183971947,7,19449.392404314065,13879.08812368258,1721.0622532472005,15600.150376929781,0.802089343082487,34766.64624426212,0,0.7984873403445375,1,0
whatsapp,130.17446279303596,mid,74705.41481846345,17,33165.08183005754,16760.58112280317,8701.25655572083,25461.837678524003,0.767730283585428,45449.08879167833,0,0.7157107737316851,1,0
whatsapp,132.27967852438798,mid,152931.32198098535,13,13452.663198983599,2813.128371844071,969.6577025746418,3782.786074418713,0.2811923571166575,19267.40175896782,0,0.9099247366308539,1,0
whatsapp,165.75996653260103,high,200618.72639299196,16,25862.12255540566,2004.1416807441867,2916.122400961744,4920.264081705931,0.19024981693459284,6279.67037426968,1,0.8402072698138435,1,0
whatsapp,31.626419807262963,high,258854.2090324914,21,42977.50103938571,4996.663005154801,1350.0503504197757,6346.713355574577,0.14767525337869883,25083.300808850156,0,0.7107396573157109,1,0
web,94.35067678983644,high,35347.705333880396,21,44620.67970465209,24257.43671844131,8073.015089862123,32330.451808303435,0.7245620645472307,68922.45604525394,0,0.8743828348430623,1,1
app,34.22677366378417,high,81824.03613742745,7,36555.73412447674,3139.9199811428166,4035.541389882924,7175.46137102574,0.19628825799510463,42218.463880114236,0,0.936468729148719,1,0
web,189.1074884762865,low,76823.59685124797,15,40635.435889106884,3141.6737265557704,12582.888721954503,15724.562448510274,0.38696674723564484,51060.29833025908,0,0.8463593238623908,0,0
app,32.5880897135973,high,89737.23703379984,22,49509.967533416566,4013.049076573773,3812.3338815297466,7825.38295810352,0.15805671762603776,82122.06677693094,3,0.7571367110119815,0,0
whatsapp,21.44503580312982,mid,136769.39652821477,23,38266.049143575015,9956.46217718597,8136.4697800329695,18092.931957218938,0.47281944078767785,53766.05140959194,0,0.8954163627845441,0,0
web,25.42829823024458,mid,22853.67023827049,9,65399.310604638216,23074.163194631088,12365.57787521622,35439.74106984731,0.5418977775483442,62509.79906717257,0,0.838565729652368,1,0
web,66.15957410915593,high,73573.69393993707,9,12572.018034863557,1233.1076563705221,4841.3407378414295,6074.448394211951,0.4831721031076199,24556.06601954214,0,0.8907687696698245,1,0
app,107.66055085823379,low,78320.31878563247,20,54852.24570480747,16562.02612346761,6129.936316971066,22691.962440438678,0.41369249606584224,34840.54451093721,1,0.5548724426049295,1,0
web,102.95971343432603,mid,107051.45519583626,17,12242.721068591873,4424.712859791049,5449.103747747928,9873.816607538976,0.8065050696017073,9939.528357856732,0,0.8720500672238161,0,0
app,26.441382437808414,high,115316.92866294144,20,26546.83264843686,4534.562756117254,9037.091841805854,13571.654597923109,0.5112344202283673,37210.40519170371,1,0.4454397612021389,1,0
app,49.18921892773879,low,88823.21767416543,17,52324.99688730153,8038.908782631983,17023.878673524796,25062.78745615678,0.47898306635617083,32319.155509368156,1,0.4074682017965122,1,1
app,44.17264881421887,high,289297.3792020344,8,49516.37203011596,22834.023898375133,4960.572461418217,27794.59635979335,0.5613213412099056,43817.53586385439,1,0.8975462593965272,1,0
whatsapp,23.079940867063108,high,93954.089335566,20,22360.104020097406,12976.886973733452,935.8773482643162,13912.764321997767,0.622213756675411,32296.853722822358,2,0.8100438163547394,1,0
whatsapp,43.325625792175195,low,135999.19069267958,0,35454.26361321052,5336.698088804488,5515.557454954961,10852.25554375945,0.3060916921629651,28666.356671496836,1,0.6975105292865156,1,0
whatsapp,161.19282412444178,mid,150141.24205556329,15,26966.800798517306,7294.8081310785465,10597.195055199867,17892.003186278413,0.6634826029219659,8171.1974872116825,2,0.6932121734725923,1,0
app,20.194129644311708,high,55948.09604181802,9,55475.88542217775,10992.523181106388,9313.402755017853,20305.92593612424,0.3660315789751502,67013.93908410931,1,0.9296133501087387,0,0
whatsapp,78.1898261609816,high,58044.835837852006,14,34938.03638538192,15619.93760576685,13105.49468834484,28725.43229411169,0.8221822193227326,55419.55301765309,0,0.7900844013257915,1,1
app,163.60842273645312,low,151699.13086748545,4,26262.804328082286,3157.6124006041177,6171.546962139185,9329.159362743303,0.35522327494812966,40369.42598170195,1,0.9206785494679202,1,0
sms,158.18548013513922,mid,211996.63452041658,16,43953.193932792456,12237.630901089437,15071.037188981856,27308.668090071293,0.6213124837259422,57928.62714131431,2,0.7132979199779103,1,1
whatsapp,194.77294752719558,high,257941.3443893273,8,48510.84156907584,5108.106724784862,4015.429706563543,9123.536431348406,0.18807211205266697,76523.4858676917,2,0.7175965250043634,1,0
app,83.70430243938088,mid,57071.358428499305,5,32938.98866317708,9622.59422710236,2653.9671022245157,12276.561329326876,0.3727060795600869,18405.89359813364,1,0.8761050673387484,1,0
web,92.54157230042813,low,180452.8349936547,1,50345.91265622246,18661.275333578484,5546.99613214413,24208.271465722613,0.4808388643388832,76582.25632301973,2,0.7972396855654187,1,0
whatsapp,43.9883484482459,high,102075.6890345291,12,79285.09162459907,11313.480088336484,8684.384479053339,19997.86456738982,0.25222729970567714,22982.51686823738,0,0.6014056036751748,1,1
whatsapp,19.763026489848244,low,210196.93658995276,22,12832.745719146875,1047.4477491283926,3620.348567935255,4667.796317063648,0.36374104336059143,19660.99215254855,1,0.8853142672931597,0,0
whatsapp,59.53907570982511,mid,127371.46340982121,17,66371.45416767955,15993.259064667378,12402.114207903933,28395.373272571313,0.42782508879244674,19332.153908257504,1,0.5449490950605993,1,0
whatsapp,140.8373757538453,mid,143438.2113676227,19,74312.22786755618,18754.962155210793,278.9453014257879,19033.90745663658,0.2561342594997957,118057.23976132271,0,0.7620694838034971,0,0
sms,5.458084761182176,mid,231366.08473500022,3,45459.04227607784,13269.616717804665,18015.777991931445,31285.39470973611,0.6882105988889167,81502.40341118594,1,0.795259889117198,0,1
web,45.63144408328362,low,244785.88454985057,9,31062.087421070002,729.6592957369977,959.3600249298195,1689.0193206668173,0.054375589694629585,52565.53856302918,2,0.5697004729076272,0,0
app,98.84835288735772,high,112089.75855195562,22,16658.309916092487,4600.631241097764,1122.2408970504919,5722.872138148256,0.34354458327250653,13782.791537087336,1,0.4939518317493911,1,1
web,66.82934673007396,high,32227.184624228263,21,37094.776502376066,4628.422955257198,10435.119183294903,15063.5421385521,0.4060825689996332,72529.13635855536,0,0.8937007489256772,0,0
web,152.49016917592235,low,64804.640008063856,10,29694.698147016694,10012.450224666403,6988.405240385246,17000.85546505165,0.5725215787977174,33648.33710544323,0,0.45426903007620717,0,1
whatsapp,131.3767158531731,mid,312982.84069925814,12,18114.437591859358,6762.689959862127,6133.144902572613,12895.83486243474,0.7119092048560282,15988.294552184241,3,0.8272586905473609,1,0
web,17.353943000198967,mid,147654.77549616393,22,26151.385499451877,17000.051136164013,11640.205645365539,28640.25678152955,1.095171679608709,32641.237090781535,2,0.300655129707405,0,1
app,71.03625753675281,mid,57271.859521853265,21,35598.62687040042,1165.5538290081613,4580.415943225363,5745.969772233524,0.16140987103666038,26659.089812982755,2,0.8049668792731004,0,0
web,35.690751008704865,mid,71350.51996098546,16,41552.43938463095,6786.4614793025185,7415.594602267259,14202.056081569777,0.34178633774321104,21646.868256007852,1,0.6241048099942208,0,0
web,35.29728257417899,low,192076.8205173492,10,21756.472766523395,6697.004327677022,3728.595983159347,10425.60031083637,0.4791953375309164,10748.028542441452,0,0.7084118358562624,0,0
whatsapp,18.768866163707575,low,285304.33389661985,3,11047.43283526435,3920.64930404579,2510.933277218209,6431.582581263999,0.5821789258345919,5579.236701209684,3,0.7414703452546361,0,1
whatsapp,79.85606566940797,mid,105895.33424771788,13,31957.68034631263,5824.540548583803,5087.884045699539,10912.42459428334,0.34146485214288863,19523.84885118856,0,0.5549412851574057,1,0
whatsapp,154.57426315716043,high,210491.8756131861,2,22948.531289278475,7502.972323653701,5759.800442277041,13262.772765930742,0.5779355810943375,41206.86420379737,0,0.6487953816120205,1,0
app,85.00993814757634,mid,178822.13569399517,22,29197.142436150778,4984.822346428928,3852.374222777555,8837.196569206482,0.3026733382738376,27108.987361309355,1,0.9368000841201144,1,1
web,17.581713315056035,mid,128344.46505118096,22,13050.48089538402,1761.1558280009717,2046.2860695476052,3807.441897548577,0.29174724886155545,2612.3959511496537,0,0.8412564870911973,0,1
web,64.04127195280773,mid,158757.6141314934,11,30934.149403330084,4621.958892574433,3369.697291747223,7991.656184321656,0.25834413870973766,23107.3580182731,1,0.8840747170766856,0,0
whatsapp,96.16692724423322,mid,125103.24557601124,3,43746.94683881669,11507.008505271418,765.5857888680154,12272.594294139433,0.280536018647362,87187.03804673575,0,0.7282148234496814,1,0
app,60.49790328697067,high,214728.0562304916,15,29094.3197314486,6407.114643658523,5689.250351132814,12096.364994791336,0.4157638022282455,44373.347117375575,1,0.8338607909230571,1,1
app,83.93315146638804,mid,163927.3611798237,6,38240.89283533375,11873.567049395719,5595.727648223915,17469.294697619633,0.4568223543535675,42329.30554734537,0,0.7329329658011823,1,0
whatsapp,38.21595864031575,mid,35411.775272733576,19,31348.18209449624,16922.73422881344,4988.123390924991,21910.857619738432,0.6989514592485825,13456.012867728869,0,0.3461260406550684,0,0
whatsapp,55.22035913439456,low,93312.05374568398,18,13553.967147342068,9202.742091925864,541.898591165816,9744.64068309168,0.7189511806513862,13825.530906374102,0,0.9123326895852744,0,0
whatsapp,52.58779504067867,mid,56773.770960740905,17,37816.97874461343,10600.193231126403,7293.798421907132,17893.991653033536,0.4731734857476503,51105.80949883876,0,0.7150679096068727,1,0
sms,173.34505730920782,high,113438.74100740056,20,24531.84293595334,1736.3601161383076,5144.208368992114,6880.568485130421,0.28047499338284154,45476.64813581838,0,0.8302306459847653,1,0
whatsapp,26.973299561996583,mid,90093.75602099825,8,18725.21083027807,12545.731252509819,1965.588527766897,14511.319780276715,0.7749616232257516,20327.542641523192,2,0.523808821773705,1,0
app,6.549495115384293,low,70080.63371426985,10,50975.59759117888,3800.5878140362165,23290.09579096552,27090.683605001737,0.5314441592674859,60486.48204652511,1,0.5654648795783102,1,0
web,166.19206902775161,mid,45222.05915190751,18,41551.66494861121,22734.988091793304,20608.789082315103,43343.77717410841,1.0431297332540967,50770.74367522796,0,0.6922375347443638,1,1
app,72.82847685914587,mid,20975.68919561092,16,26739.02633186395,19471.92883990375,1574.2829189372032,21046.211758840953,0.7870971626876677,51109.52939674677,0,0.8015218873857058,0,0
sms,21.966023858818428,mid,212694.6527668348,20,33605.19458435826,3692.230462697966,15875.777345766883,19568.00780846485,0.5822911621399418,27219.626976213513,1,0.8946458581189272,0,0
sms,123.76846022735607,high,212489.48962841267,17,39348.51507489852,22277.919083558187,8396.35039595269,30674.269479510876,0.7795534195159203,68820.08501065828,0,0.9652592681152907,1,0
whatsapp,100.29576064753145,low,43880.5726210034,5,15531.953283260817,5683.882849741167,5419.398947591382,11103.28179733255,0.7148670611376896,15165.781371088467,2,0.9516329470721704,1,1
app,191.83966650923054,high,126992.73077316686,2,20532.29872511803,1552.5964420176217,2135.4238361762923,3688.0202781939142,0.17962042767681938,31486.618615090578,0,0.5337169082308363,1,0
whatsapp,77.11510798386698,mid,28835.84990594958,13,21028.243751910275,5076.792953595824,334.48900084819036,5411.281954444014,0.25733399414073443,22491.84935084224,0,0.9737069884037334,1,0
whatsapp,282.19831407859,high,62156.15856383034,8,46575.83766133918,11550.940658152367,5945.881950719707,17496.822608872073,0.3756630795584277,55784.13645833167,0,0.5668149530326361,1,0
whatsapp,60.91229515716118,high,86336.17814521109,2,79438.3436656143,59477.98781381701,24370.927046223464,83848.91486004047,1.055521943068097,62952.05254622022,0,0.8337037799026938,1,0
app,100.42662982276383,mid,66959.14415812526,1,48805.54658859473,21979.081095187295,4982.072239553613,26961.15333474091,0.5524198624801675,46187.89373074397,1,0.7935053643091331,0,1
app,110.56499168968541,mid,147351.48302156848,18,38516.70395946227,4689.018115800752,7136.092708601699,11825.11082440245,0.30701253245469917,44125.49390045799,0,0.614337137837287,1,0
whatsapp,47.09078426756108,mid,11765.354424888894,5,21728.601366273626,7680.609467392904,1298.8346908237197,8979.444158216624,0.4132545858268725,27980.64037932318,3,0.853275101709818,0,0
whatsapp,45.88661875143095,mid,60708.829238145794,2,52591.56579583449,4388.373602040874,7746.838436170808,12135.212038211681,0.23074445216789588,45573.23708535242,3,0.7889696563406629,1,1
sms,112.12193761225168,mid,171970.89764117525,8,30295.584478588713,5362.817244792557,5296.463595161694,10659.280839954252,0.35184271976953135,51548.715798519996,3,0.8095809413627727,1,0
whatsapp,20.140301822459065,mid,26880.129439729648,17,21900.81332160392,6328.14310233045,2507.9546489181107,8836.09775124856,0.403459799482983,32726.70245567731,0,0.7451552456735934,1,0
whatsapp,35.48477367326261,mid,65442.96847216488,6,52119.14205181089,2013.266329896931,9414.805878115452,11428.072208012383,0.21926823347652002,52784.030547533,0,0.7841931963530383,1,0
app,59.621929573380086,mid,185380.31442694456,1,70609.8569101969,11960.650416603268,16871.19073278624,28831.841149389507,0.40832601014980735,107529.16320717006,0,0.576488472643922,1,0
sms,187.95101054096807,mid,302930.95257466525,0,52540.92346951613,16317.902101791136,33331.99139767314,49649.89349946428,0.9449756536592051,11139.543799735475,2,0.5508435693144084,1,0
whatsapp,112.17443529832651,mid,212655.48499420716,4,119281.34812401337,49806.646537429915,24491.356453035114,74298.00299046503,0.6228803091093467,151295.99472134587,0,0.9612208926641069,1,0
